ID,'roi_10_coords_-24_-39_-2_roi.mat','roi_11_coords_-38_7_-12_roi.mat','roi_12_coords_-39_-6_8_roi.mat','roi_13_coords_-41_-17_-4_roi.mat','roi_14_coords_-6_-88_-3_roi.mat','roi_15_coords_-11_-18_-19_roi.mat','roi_16_coords_-47_29_27_roi.mat','roi_17_coords_-8_14_-6_roi.mat','roi_18_coords_-14_0_3_roi.mat','roi_19_coords_-9_44_-2_roi.mat','roi_1_coords_-6_-6_28_roi.mat','roi_20_coords_-37_-20_19_roi.mat','roi_21_coords_-6_-37_27_roi.mat','roi_22_coords_-13_-72_40_roi.mat','roi_23_coords_-17_7_-10_roi.mat','roi_24_coords_-22_-46_63_roi.mat','roi_25_coords_-8_-16_1_roi.mat','roi_26_coords_6_-6_28_roi.mat','roi_27_coords_11_18_4_roi.mat','roi_28_coords_48_7_1_roi.mat','roi_29_coords_8_-69_23_roi.mat','roi_2_coords_-10_14_9_roi.mat','roi_30_coords_3_37_-16_roi.mat','roi_31_coords_38_10_14_roi.mat','roi_32_coords_34_41_-12_roi.mat','roi_35_coords_24_-39_-2_roi.mat','roi_36_coords_35_11_-4_roi.mat','roi_37_coords_41_-8_-6_roi.mat','roi_38_coords_36_-12_6_roi.mat','roi_39_coords_6_-88_-3_roi.mat','roi_3_coords_-50_-2_1_roi.mat','roi_40_coords_7_-20_-14_roi.mat','roi_41_coords_35_29_29_roi.mat','roi_42_coords_8_11_-6_roi.mat','roi_43_coords_25_-11_-4_roi.mat','roi_44_coords_13_44_16_roi.mat','roi_45_coords_38_-20_19_roi.mat','roi_46_coords_6_-37_27_roi.mat','roi_47_coords_6_-61_56_roi.mat','roi_48_coords_25_4_3_roi.mat','roi_49_coords_22_-46_63_roi.mat','roi_4_coords_-8_-69_23_roi.mat','roi_50_coords_6_-16_2_roi.mat','roi_6_coords_-38_10_10_roi.mat','roi_7_coords_-25_33_-16_roi.mat','roi_8_coords_-30_26_-5_roi.mat','roi_9_coords_-25_46_-11_roi.mat'
2017,-0.621018056,0.053557215,1.512917684,1.713698094,-1.470640522,5.251556296,2.407508385,-0.177071673,1.105123108,-0.480814543,4.518510432,4.695425043,4.498097928,0.501504377,0.47241033,-0.809974329,-0.117208078,5.393990823,0.654217995,1.196196667,-0.227195123,1.031157821,1.614775598,0.578989434,-0.349326063,0.13519989,3.623321654,5.154910253,0.705649218,-2.181074684,0.535621436,6.037213187,0.023944092,0.114875497,2.721242354,2.293048837,3.728436741,4.632312515,-1.95252123,0.655750483,-2.157595463,3.098694562,-0.286855458,2.900797926,-0.609044184,-0.722964813,1.264250689
2018,-1.067935885,3.826001783,1.714592655,-2.178213356,2.723820738,4.240688714,-5.033496458,0.010722126,-1.431463828,3.048754971,0.115422434,1.405709717,2.333096212,-0.282712534,2.410909753,-3.538430793,-3.860348399,4.573832436,2.684676087,1.259796336,-0.51508578,0.768873839,-2.162226379,-1.304769647,1.61470939,-1.988154383,1.660694553,0.4675895,0.5880212,-1.880292404,1.99954555,6.35563441,-0.595020968,3.126275327,0.42317841,0.439468066,3.600644472,4.64622415,-3.177466428,1.048564526,-1.560919584,0.564094618,-2.007101978,-0.103048558,1.743636361,1.189461876,0.924136569
2019,1.319616948,3.061821967,6.06219668,1.665077623,-0.567547991,0.639756724,4.688164546,1.093496397,5.635512669,2.396925155,6.766116557,1.854500303,0.089149554,2.734646405,-0.919853848,1.456780065,2.009749027,5.508136083,1.105692686,1.766262663,2.038665774,2.272064479,1.140447862,2.506638538,2.498648296,-0.392874047,4.202070269,3.062204542,3.361590653,1.522085611,3.882024283,1.220209782,2.291045836,-1.131192108,1.310216127,4.374598296,1.60407266,0.672111917,0.381717691,3.814667583,0.437632014,4.126066342,4.833828604,2.480600913,1.709827789,6.642875884,3.295057734
2020,-1.021790586,0.175842537,3.24645781,-0.977485953,1.766967722,-1.106470246,2.466396631,3.167057795,-0.517706143,4.104252594,3.377273213,1.765555728,3.651310921,-0.026282505,1.394514309,1.519230781,1.7225632,1.869597069,-0.904827868,-3.076354008,1.644688831,0.292699363,4.127020538,-0.742214961,-1.553621816,-2.690293335,-4.475552045,-1.61186802,2.522198176,0.017339669,-0.653467201,0.044674292,1.21229932,0.544416759,0.266812984,2.939462494,0.580336166,4.148243978,-2.652980254,-2.104866117,0.181965569,2.122186858,1.35617977,-0.638288557,1.587138013,1.927352628,0.130367534
2021,-1.502586676,0.925371163,1.173946795,-0.154545767,-0.255204477,2.756702452,1.203605956,-1.930292768,-3.519178835,-0.306224358,0.689175054,-0.823185365,-1.642832574,-3.179233152,-1.173175423,0.448955794,-2.069530873,1.187860135,-0.502972377,-1.583231912,-4.374940434,1.766982868,-1.642494366,-1.05497368,-0.336660958,-0.234142159,-2.145586566,1.232955319,-2.539054979,4.091830247,0.247499042,0.265201318,0.20287382,-0.172621873,0.82156613,-0.595002515,-4.227977251,-0.127318797,-0.122893935,0.714047855,-0.967795656,-4.13495295,-4.33627446,-2.345824228,-2.633889482,-1.463462562,0.881968951
2023,1.824864869,2.083112962,1.856420667,1.853646424,3.69433801,1.82162887,2.747152718,0.216846374,1.1846503,-0.046328177,5.438696243,3.82738831,3.548232314,0.762493651,0.770272945,0.06013192,-0.516380204,5.896921686,0.468060714,0.545970047,-0.128532941,2.351661656,2.552649498,3.986185854,0.897690453,2.109187781,2.606354341,3.031275348,-0.071228302,4.169290739,0.166896528,2.013775677,-6.722717543,0.963885688,-0.939941861,3.335109912,4.021533921,2.002333513,-1.760894044,0.430437947,-0.018105935,1.132921464,0.73309927,-0.041153693,2.627016551,1.37350907,0.090875647
2024,-1.700391672,0.098717898,-0.846714814,1.614097272,1.571099373,-4.957490644,-0.658943096,-1.608602608,0.416728181,-0.068854477,-0.86991927,-1.16154499,-3.066921421,-0.112274318,-0.596968476,2.092682609,-0.433549734,0.134527126,-0.542835733,4.341708863,-1.658615185,1.391055346,0.27723176,-3.389362595,0.108733323,-3.029179368,3.114807663,0.215268198,2.197103236,-2.199733814,2.223836865,-3.821461943,-1.670039346,0.826621321,0.350385564,1.618805678,0.031605983,-3.677344789,-1.892934982,-1.201796265,1.854706735,2.400975139,-0.546216526,-0.325335475,-0.185809927,2.219328326,-1.963426078
2025,-2.981816972,0.73871089,0.315360744,2.571817932,-0.051338989,-1.984872521,0.216484925,-2.734256813,1.768895577,-1.684024795,2.701873327,0.347826718,-6.514773001,-0.995461661,-1.191264153,-0.318653969,0.009796679,3.076110189,-3.493887751,-4.927585084,-4.11114466,-4.137181149,-1.759852648,-5.579569676,-1.838605823,-2.36281471,-0.334939649,-4.598116344,-5.807458548,6.039864289,-2.139746242,-1.555974786,-0.495059789,-7.863827373,-6.078774125,-4.436161126,-5.208393907,-9.475655173,-4.085206502,-4.402977192,-1.347011247,-6.332966091,-4.530878652,-0.234153547,-2.807765569,4.052867833,0.83533119
2026,-1.515938545,0.496740098,2.058012687,-0.896902979,0.283924049,0.187865419,1.957890036,-1.497040414,0.159193039,-1.471399604,-1.608882248,4.960571811,2.085379321,3.664142704,2.681598617,2.233977494,0.935291683,0.55156571,0.94859594,1.183726119,0.618751124,0.604795612,0.991745245,0.688146613,1.415606806,-3.219270767,0.765137458,3.701591686,2.486566691,1.265955949,2.362166909,3.098601085,1.157955318,-0.17532587,-1.499422642,2.586601267,-2.181153825,-0.025991972,3.060065474,0.388447916,0.932739851,2.713654492,2.105744672,1.311486457,3.557283853,1.211585042,-1.257038757
2028,-5.064950367,-0.693329561,2.952877943,-1.147111669,0.340898412,2.907330316,3.334461337,2.757974181,3.440535445,1.591261358,-0.935633975,11.47412987,-3.42922579,0.040280071,0.541562223,-0.395867898,3.332205024,-4.216165343,5.754540907,1.489543167,-1.334141685,5.684664148,4.24934727,15.36256448,-1.767189806,1.758041457,0.615179855,-1.387210944,5.089238296,5.158701301,0.374745499,4.437279738,-3.236086788,4.219901567,-1.666228985,3.232272199,6.37128936,3.863458211,-1.699858452,3.255551146,-4.010924957,-1.824684197,3.430553968,11.70558659,-0.314742961,2.34984992,-0.514151651
