ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2032,2.070722725,4.114047134,-0.43176052,-0.799583228,-0.187663173,5.988939354,0.183019269,2.071674933,0.569063694,0.067396635,5.683559808,0.299464361,1.501342757,-4.459465782,0.536152848,0.6061032,2.250981416,6.00906281,2.881814014,-2.497124355,-4.369557468,0.145974393,1.159930575,0.185298659,3.58503493,-0.751335286,0.232950384,-0.070950164,-0.035778422,-1.755638218,5.186127977,-1.331093392,2.692989146,-0.571990345,1.013411708,1.372536366,1.474184387,-2.170404786,-0.968529543,-0.54829558,-5.133650746,-0.912179532,-1.681542655,5.39697504,-0.955933675
2034,-2.068855605,-1.582326964,-0.14001176,-2.696093958,-3.22986019,0.608665609,0.228122298,1.29962657,-0.434492888,0.950880425,13.74945348,-1.015493162,1.65572139,-0.207501879,-0.78812366,0.198922345,-7.509278828,11.12703678,5.37120975,-0.55161919,-3.183664678,2.887593709,4.1066173,-3.025907636,1.341225755,-2.886524658,-3.284497967,-1.308397802,-3.785665822,-3.402581607,-2.258451796,0.475474037,-1.426743114,-5.232315405,-0.034229193,2.56404565,-0.406169571,1.038163676,-0.563793081,-1.655309994,-3.574755103,-8.017011925,3.875917601,0.64857012,-0.55504378
2035,-1.126578157,4.64895515,0.191264205,1.282235971,-2.506105175,-3.629332592,-9.451638582,-1.637067118,0.245116791,-0.385735607,-3.446546045,0.555776206,-0.920326284,-2.408849434,1.097861852,-0.527151752,1.581081941,-7.946730024,-3.351143075,-1.49073093,-2.416831677,-0.895111734,-2.22159648,-0.628132999,-2.156711481,-1.196892789,0.147311713,-5.47659963,3.624541459,2.0172542,-4.482496145,-2.761809171,1.799925297,0.599778165,0.735130013,-3.22934845,-5.084571525,-5.167285124,-3.036678034,-1.183658201,-1.995622831,2.80662403,-0.649965656,0.404445112,-2.491327745
2036,-6.646191679,1.044808008,-2.634517108,-3.950013408,0.634983924,-3.756466764,1.448437007,2.045543445,-3.11241584,4.469775315,1.776028581,-1.306987435,2.140266203,2.341615748,-0.503473719,1.538439685,-12.15711589,3.798081829,2.076348944,-2.632107763,2.602307761,4.189275175,0.033376363,0.790908918,-3.334383202,0.971638279,-5.135443388,-10.91620368,0.914954713,-1.81262098,-4.358135572,-0.669823382,3.070588543,-4.434811264,4.814613363,-1.319390636,-2.080529426,-1.008622991,-1.955823094,0.881825893,2.416344241,-14.52415111,0.51396281,2.722446442,1.933964734
2037,4.217006171,2.656191476,-3.060386877,-0.716410788,-4.226144613,5.49414369,-0.178748758,1.314468566,1.24707494,-1.836409757,0.519512657,-4.182884894,2.788539218,-1.510724488,-0.75464558,0.763314046,4.602709358,4.741058342,-3.305350494,-2.747614212,-3.099403232,-3.640531266,-0.580798812,1.070912838,0.618407749,-0.950028619,-0.709920065,-4.139657399,7.013481846,0.370600042,7.60846653,-0.730702868,-2.2944581,0.146476346,0.263514261,-6.412819294,4.066329939,-1.416179976,-2.970987518,-2.718142993,-1.676098631,6.966722715,-5.395135831,1.756086111,-0.471959097
2038,0.30862271,1.011428174,2.749241222,-1.618710782,-3.881343976,-2.627824673,1.334546943,-2.791284659,0.37756216,-2.827591973,-4.083449749,4.18456543,-3.832691791,-0.245967132,-0.899894664,1.435786097,-1.896038918,-3.562035331,-0.143920034,-2.971239834,-1.606356107,0.439270097,-2.131548903,-1.223764777,-0.432386262,-1.041920493,-2.904570189,-2.537919748,3.374755964,1.692649567,-4.252648505,1.542884759,1.638946741,-2.873245366,-0.798499277,1.281650795,-2.169110197,-5.737065071,-2.847558965,-1.446618412,1.558770432,0.524713659,1.141182554,-1.655053616,-2.89272879
2039,-0.717981198,1.809353342,-1.116957824,-3.036480786,-3.161909583,1.515836651,2.698326943,0.263954004,0.938692477,-1.054312649,-3.159559644,-2.076382769,-3.131151452,-3.314925113,-0.881412512,-3.236353137,4.021432451,-6.668299309,-1.551646303,2.584642071,-2.450629766,-1.088071667,3.07187127,1.111850411,0.72980742,2.792929768,-1.045129825,1.164120374,-1.766611926,-2.406862261,3.904848822,0.589956363,-0.375570031,5.170371012,1.0030141,-2.188178378,-3.406536732,1.673768531,3.408975641,-2.046936476,-2.500664421,3.818622406,3.705259174,6.628221512,3.48175785
2041,1.833901667,1.155828742,2.77101108,0.805064765,-0.362957137,1.611456424,2.454490521,2.354273297,1.146972536,1.695599101,8.500601269,3.053742936,0.652284517,1.074361525,0.174303783,0.629557922,-1.691252252,7.203210601,3.529613488,-3.393400958,4.036611672,0.418215404,5.010614734,-0.485899851,-2.631580813,-3.413622775,-2.55918829,-0.907783889,4.133349503,0.508694459,-2.801151402,-2.6531612,1.044067704,-2.640263563,0.005382077,0.816998192,-0.169877032,-3.510506959,-0.694184451,-0.658898657,2.255288292,-2.845836848,0.648160457,1.300530672,2.301776568
2042,3.787167475,-0.659710889,2.442578399,2.137790154,2.085665056,0.646481172,0.901949271,-1.361547083,-0.226255256,1.607201962,-3.727525925,3.804337984,-2.593013274,2.399351154,-1.504345586,3.490215673,1.17856087,-5.335962649,-0.584105572,3.736049681,5.93968873,1.606816532,0.46373698,1.814389825,1.524325404,2.987570147,0.87941505,1.163933537,2.092700586,1.914035936,1.874403774,0.235526345,-2.298744122,-1.573814497,1.70631784,2.729513011,-1.805835426,0.65367504,-2.16720324,-0.252858661,2.762499151,0.760526798,2.096459188,0.945433021,2.744169097
2043,5.054474877,3.890926818,7.743433857,3.877341811,1.88051417,-5.481689557,-0.096222005,-3.655935408,-3.095946852,-1.045703319,7.023851402,3.51588878,1.882206625,-1.579714603,-1.67059305,0.285926402,0.149166968,8.688354769,1.200041755,-1.266831323,1.200806006,0.109671854,-2.33911081,-2.246361256,-0.270200097,-2.026589486,-2.2750017,-3.428659125,7.546719503,4.173664862,7.159349924,-0.579266615,-6.563723785,-9.130040199,0.0505703,-1.376894692,2.002447266,-1.069552429,-0.617432481,-1.901831199,-2.995470042,-2.487539751,0.040588362,-3.982884169,-1.64537557
