ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2035,-0.295534998,2.679491434,-0.397767848,-0.39464361,1.754465516,-2.691947171,-3.514687558,-1.074018797,2.356227163,-2.647671125,-1.16878281,0.704972291,-7.982651929,0.151128412,1.106256833,0.19712886,-1.334907105,-4.270210814,-0.756654728,-1.735134883,-2.163526529,0.172089748,-1.987479168,1.415831447,-1.239921544,-0.016294981,-0.90819833,-1.760870484,4.712551305,-1.78724603,-0.547573486,-2.06450447,2.424479583,-1.073979357,0.560901477,-2.585712816,-5.072200324,-3.726676861,-1.806000725,-0.977304519,-5.282412699,-1.023180888,-1.914719829,0.034843788,-1.269521218
2036,-4.541591931,-0.477916006,-0.147440078,-4.096797938,-1.501664335,-4.410229498,3.978895295,0.07011897,-0.805707281,1.062541307,11.78784363,1.04704265,2.779403598,6.304789616,-0.212969326,-1.754927344,-13.14436932,16.80633866,-0.386025186,-0.412247785,0.909983643,0.762765513,3.32147157,-0.100026071,-2.30435827,2.017632015,-1.648557358,-6.364268754,1.849056181,2.825361296,-7.296948231,0.501428345,1.536065238,-6.311689127,-0.262575771,-0.907408414,2.732461665,2.59819612,-1.127200737,-1.932693603,-0.794810044,-11.07820825,2.354110659,1.871734977,1.580164318
2037,0.82564847,-1.21347838,-0.183809662,0.212148817,-5.319083166,3.304887349,-1.712278336,-0.337618118,-1.652506865,-1.822931141,1.923968874,-1.467735948,-1.955538823,-4.54901873,-1.918160513,-2.796110813,2.694639507,3.205412175,-5.519096286,-0.592662302,-4.706632991,-5.443194318,2.743984924,2.11321944,-0.166657636,-0.556382403,0.15973167,-0.325735796,4.11936913,-0.107082525,2.489707835,-1.119862821,-4.078649655,-1.141310736,1.072806032,-1.589837375,-0.267103998,-1.58944088,-1.810812498,-4.284442932,-5.664097447,2.795120586,-2.55246115,-0.36965704,-0.628480886
2038,0.181253775,-3.136327933,1.530008454,-0.245319897,-3.265375492,-2.850183845,-0.382794271,-2.517158783,-0.157296869,-2.371694073,-0.709659224,0.835812256,-2.535787952,1.344121384,-1.206289648,0.254477764,1.544267982,0.880973943,1.378119321,-3.670961572,1.165832584,0.52379164,-2.277991021,-1.697198212,0.995920728,0.088273389,0.816887168,-3.639254332,3.251867936,0.491964072,-0.172232341,1.946034367,-1.278090903,3.067773058,-0.733567287,0.140238367,-1.219778851,-2.940644094,-1.816778579,-1.581248812,-0.261272702,1.586937148,-4.158273883,-3.123737097,-3.789070251
2039,-2.516454007,-1.230961713,-0.533806767,-3.02120935,-3.288777954,0.311742589,-0.349445154,-2.669815002,1.308527832,-0.195898588,-1.794984686,-3.539466632,-0.75507146,-1.214044839,-0.121469018,-3.696678671,2.909408519,-2.81569556,2.005367035,0.399429143,-2.471938994,0.23094441,1.771149625,0.547794014,-1.579694306,0.506256151,-1.593173099,-0.437379101,-0.423898445,-3.984830319,0.454484025,0.695251432,1.706408477,0.01283018,0.419284869,-2.4592415,-0.430848513,0.39709088,0.695838708,-2.462516226,-2.343499885,2.7210693,-1.074307596,2.536246777,1.432249744
2041,1.410857685,2.13406371,3.468835662,1.011045976,-3.121493471,0.905756734,2.049625844,3.862168851,0.632368116,-0.745813596,6.98772194,0.826870015,-1.065205769,-0.709141074,-2.554871487,-1.056531627,-2.569889918,6.970115541,3.004841503,0.05126485,1.709096353,0.773237124,4.531141337,-0.186448723,-0.504437496,-2.497601751,-1.353674389,-1.970027938,5.561252469,-0.350263388,0.401468494,-0.092308759,-0.120671345,-2.187807004,0.388163623,0.779139824,-0.824213511,-0.627115418,0.686592429,-2.005928147,0.578930829,-4.229416004,2.300842182,-0.297931731,0.878865785
2042,1.155994761,1.925415052,4.017834688,0.828934689,-2.713496615,0.510257547,-1.855232842,-2.314926776,-0.18110381,0.348758812,-3.661373756,4.024574038,-1.106148677,-1.516514126,-0.722530387,-1.096234032,-2.280980034,-6.419870093,-0.463047031,2.053196761,-1.313226615,2.460152454,2.57249318,-0.02810514,0.332023519,1.942429491,-0.643306248,1.586004629,-0.858101432,0.762633329,-1.274425469,-3.353426788,-3.487943544,-4.993454136,1.056067559,1.192470226,-0.526200462,-4.467472582,-0.794198681,-2.492218847,-2.675473056,-2.305389232,4.157449344,2.547831297,2.531290627
2043,0.420802563,-0.339672298,3.196113347,-1.112034071,2.207386342,-9.428481489,-0.93261687,-1.056734939,-4.372220073,-2.211108086,2.048745959,0.38917168,0.913375578,-2.60127636,2.228355808,-0.462001055,-3.188803407,2.066802156,-1.129832687,-0.815217031,-5.330360073,-0.304696534,0.457445054,-2.924017787,-2.720597978,0.137505279,-0.784113717,-1.845508228,4.280002968,-1.388848766,-7.136820997,-2.343490378,-3.262504429,-3.648060439,2.495214563,3.273230846,-3.424240853,1.265537275,-1.271117714,-3.870381162,-4.880083359,-2.19661652,0.258935298,-0.462263882,1.327617702
2044,-5.267334357,4.714526121,0.43223224,2.21030239,-0.682704661,-2.97289612,3.485558586,1.555449365,-0.381951717,-0.682597279,3.247449411,-0.141348436,2.014536644,-0.440629867,1.2755868,1.297461949,-6.279995695,-1.515123256,1.981669637,0.087649605,0.048475947,1.556057861,1.626176107,0.563270748,-5.654678887,1.33559936,-3.374595836,-1.869678302,3.785437863,3.368444978,-4.247345322,0.061010034,3.298513223,-4.629507473,3.149058915,0.529756159,0.281264299,0.790668953,4.096429955,2.048369516,-2.159856496,-3.284252053,2.491262187,-1.11869216,1.382470068
2045,-0.251931063,0.247413402,2.481881384,-0.638905111,-5.185428739,0.524154334,-0.564688108,-0.66394995,0.623577254,-1.101844729,1.342439525,-0.455997142,0.803878048,1.036753109,-0.180502695,-1.252745644,3.358367662,-0.026695638,-1.820438897,-2.852122473,-0.457882657,-3.615734283,2.242090258,-2.212805122,-0.000466964,-2.991852158,1.988500781,1.838919531,0.588983248,-1.40491431,-0.14990155,-2.511176944,-2.796419407,2.090165485,2.082225335,-0.98525676,5.340044505,-1.699320931,-0.222720147,-3.302296479,-2.800615318,-0.667974985,1.916348817,0.837254941,-0.848216697
